Query	Reference	Core	Accessory
IN02	ST540an	0.017994282293516517	0.16024842359341107
IN02	BR02	0.010412070227875936	0.14395952688358138
IN02	BR03	0.010419345492871601	0.14392704562542258
IN02	BR07	0.010409006852181157	0.156769335394635
IN02	BR10	0.01200529886355628	0.1629260483122632
IN02	BR12	0.01309630066012435	0.15856158730571812
IN02	BR14	0.03781462262965629	0.2277211724585546
IN02	BR25	0.01091912630897307	0.14725567079097102
IN02	BR29	0.011439131149997839	0.1770671438946969
IN02	BR64	0.011582221350925792	0.17620045806848128
IN02	5CRE51	0.020774354412614326	0.24688874017899387
IN02	UCI57	0.03312895789607673	0.2003970971077521
IN02	UCI58	0.03343580186474027	0.20079951209222258
IN02	UCI65	0.03321234648778415	0.21289118849482602
IN02	UCI51	0.037084214399106696	0.26829267990291716
IN02	UCI53	0.012967927917532651	0.17075551824669788
IN02	UCI66	0.013556490638112706	0.1833647733113688
IN02	MGH58	0.03254232066700857	0.22095572543525643
IN02	MRSN17749	0.03780376794850748	0.2423181387711556
IN02	MRSN22624	0.03797680278474125	0.2531633030138748
IN02	URMC09	0.032575879089894344	0.21866758872034964
IN02	URMC13	0.032861402574087095	0.21979905334630712
IN02	URMC31	0.03644752513128802	0.2659011662288958
IN02	URMC34	0.037210732890001874	0.17278228344164337
IN02	URMC51	0.033718850209641826	0.21604439689384303
IN02	URMC52	0.03355064084153336	0.21835189696799062
IN02	URMC53	0.033665442276231916	0.21484602216436244
IN02	URMC68	0.03746578574576864	0.25738736396298234
IN02	URMC83	0.032862976067078	0.2103704835272462
IN02	URMC85	0.03291983368213125	0.21039428752631595
IN02	URMC91	0.03753359500890674	0.25154458635170596
IN02	URMC92	0.03338504823546884	0.2238381826957444
IN02	URMC94	0.03342404730539883	0.23111230500435098
IN02	URMC95	0.033672291333196824	0.21887383493354995
IN02	URMC97	0.033739726830876005	0.22267218799563993
IN02	URMC01	0.013470438663150341	0.15559909709030417
IN02	URMC02	0.010386619328290991	0.14242739334228094
IN02	URMC03	0.03798994255868082	0.26262352617721674
IN02	URMC04	0.03199663516759599	0.21699860292269402
IN02	URMC06	0.037401306085400154	0.25331877548847126
IN02	URMC07	0.038307672700272244	0.24114566323670394
IN02	URMC08	0.011674443614464347	0.1294629204595702
IN02	URMC105	0.038564595641017	0.2447786811458632
IN02	URMC106	0.019429016378084696	0.17079936033453902
IN02	URMC107	0.03204656892981128	0.2126056644976374
IN02	URMC108	0.037368590207007446	0.25055668324046665
IN02	URMC109	0.03762668139932801	0.2545200992346981
IN02	URMC10	0.03785595646895734	0.25006837651527447
IN02	URMC110	0.03519684384723054	0.1877355593618364
IN02	URMC111	0.037705334735993024	0.2654370758609229
IN02	URMC112	0.03825596991946312	0.26373341587698973
IN02	URMC12	0.037746873187150976	0.23633160470364312
IN02	URMC14	0.03760912086318402	0.26229465986183065
